name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
tillamook oregon,2015-03-13,67.9,42.8,53.6,67.9,41.4,52.9,48.4,84.1,0.03,100,8.33,rain,0,0,,6.9,196.9,1019.5,20.8,9.9,57.5,5.1,3,,2015-03-13T07:31:51,2015-03-13T19:18:34,0.74,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KHIO,KTMK,KMMV,72020200118,72688194273,72698694261"
tillamook oregon,2015-03-14,55.4,51.8,54.3,55.4,51.8,54.3,52.7,94.4,1.6,100,100,rain,0,0,34.4,21.8,146.7,1014.5,100,4.4,31,2.5,1,,2015-03-14T07:29:58,2015-03-14T19:19:54,0.8,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KHIO,KTMK,KMMV,72020200118,72688194273,72698694261"
tillamook oregon,2015-03-15,60.8,46.4,53.4,60.8,44.2,53.1,50.2,89.4,1.55,100,70.83,rain,0,0,51.7,33.3,153.6,1011.2,99,7.6,41.6,3.7,2,,2015-03-15T07:28:05,2015-03-15T19:21:14,0.85,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KHIO,KTMK,KMMV,72020200118,72688194273,72698694261"
tillamook oregon,2015-03-16,60.8,35.6,48,60.8,35.6,47.7,42.5,83.5,0,0,0,,0,0,,12.7,252.4,1020.6,37.3,7,162.6,14.2,5,,2015-03-16T07:26:12,2015-03-16T19:22:33,0.9,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KHIO,KTMK,KMMV,72020200118,72688194273,72698694261"
tillamook oregon,2015-03-17,57.2,39.2,48.4,57.2,37.9,47.6,45.3,89.6,0.03,100,8.33,rain,0,0,16.1,12.7,143.5,1019.8,73.8,9.5,147.5,12.8,7,,2015-03-17T07:24:19,2015-03-17T19:23:52,0.94,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KHIO,KTMK,KMMV,72020200118,72688194273,72698694261"
tillamook oregon,2015-03-18,60.8,44.6,52.1,60.8,44.6,52,47.4,84.7,0.03,100,12.5,rain,0,0,,10.2,136.8,1024.7,45.9,8.9,189.4,16.4,7,,2015-03-18T07:22:25,2015-03-18T19:25:11,0.98,"Rain, Partially cloudy",Clearing in the afternoon with rain clearing later.,rain,"KHIO,KTMK,KMMV,72020200118,72688194273,72698694261"
tillamook oregon,2015-03-19,62.6,37.4,49.6,62.6,33.7,48.7,42.7,79.3,0,0,0,,0,0,,9.1,153.5,1020.3,0,9.9,174.9,15,7,,2015-03-19T07:20:31,2015-03-19T19:26:30,1,Clear,Clear conditions throughout the day.,clear-day,"KHIO,KTMK,KMMV,72020200118,72688194273,72698694261"
tillamook oregon,2015-03-20,62.6,42.8,50.9,62.6,41.2,50.6,45.7,84.9,0.24,100,33.33,rain,0,0,24.2,16,130,1015,58.8,9.2,72.6,6.1,4,,2015-03-20T07:18:37,2015-03-20T19:27:49,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KHIO,KTMK,KMMV,72020200118,72688194273,72698694261"
tillamook oregon,2015-03-21,59,42.8,52.5,59,42.8,52.4,45.9,79.2,0.19,100,25,rain,0,0,24.2,16.1,223.6,1018.8,66.8,9.4,195.7,16.8,7,,2015-03-21T07:16:43,2015-03-21T19:29:08,0.01,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"KHIO,KTMK,KMMV,72020200118,72688194273,72698694261"
tillamook oregon,2015-03-22,55.4,41,47.8,55.4,40,47.5,43.9,87,0.02,100,8.33,rain,0,0,,10.3,157.5,1016.2,78.5,9.6,94.4,8.3,5,,2015-03-22T07:14:49,2015-03-22T19:30:26,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"KHIO,KTMK,KMMV,72020200118,72688194273,72698694261"
tillamook oregon,2015-03-23,55.4,41,47,55.4,39.2,44.9,43.1,86.9,0.67,100,66.67,rain,0,0,29.8,17.2,141.5,1015.1,82.1,8.6,141.4,12.2,7,,2015-03-23T07:12:55,2015-03-23T19:31:44,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"KHIO,KTMK,KMMV,72020200118,72688194273,72698694261"
tillamook oregon,2015-03-24,55.4,44.6,49.4,55.4,38.8,48,44.4,83.5,0.61,100,41.67,rain,0,0,31.1,11.5,184.4,1021.2,95.4,9.6,200.2,17.3,8,,2015-03-24T07:11:00,2015-03-24T19:33:03,0.11,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"KHIO,KTMK,KMMV,72020200118,72688194273,72698694261"
tillamook oregon,2015-03-25,59,50,54.4,59,50,54.4,51.7,90.7,0.15,100,25,rain,0,0,21.9,11.4,163.7,1025.8,93.2,7.9,96.1,8.2,4,,2015-03-25T07:09:06,2015-03-25T19:34:21,0.16,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"KHIO,KTMK,KMMV,72020200118,72688194273,72698694261"
tillamook oregon,2015-03-26,68,41,52.8,68,38,52.2,48.1,85.6,0,0,0,,0,0,,9.1,162.1,1023.4,21.5,8.6,233.6,20.1,8,,2015-03-26T07:07:12,2015-03-26T19:35:39,0.21,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KHIO,KTMK,KMMV,72020200118,72688194273,72698694261"
tillamook oregon,2015-03-27,57.3,42.8,50.6,57.3,42.8,50.5,48.5,92.9,0.23,100,25,rain,0,0,25.3,16,178.2,1017.5,79.5,6.9,74.5,6.2,3,,2015-03-27T07:05:18,2015-03-27T19:36:57,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KHIO,KTMK,KMMV,72020200118,72688194273,72698694261"
tillamook oregon,2015-03-28,59,48.2,53.1,59,47.3,52.8,46.3,78.8,0.04,100,16.67,rain,0,0,19.1,11.4,197,1026.8,63.4,9.7,210.2,18.2,7,,2015-03-28T07:03:24,2015-03-28T19:38:15,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"KHIO,KTMK,KMMV,72020200118,72688194273,72698694261"
tillamook oregon,2015-03-29,62.6,41,51.7,62.6,39.2,51.4,46.4,83.2,0,0,0,,0,0,,10.2,184.1,1024.6,43,9.4,174.5,15.1,7,,2015-03-29T07:01:30,2015-03-29T19:39:32,0.35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHIO,KTMK,KMMV,72020200118,72688194273,72698694261"
tillamook oregon,2015-03-30,60.8,51.7,54.6,60.8,51.7,54.6,48.6,80.5,0.04,100,4.17,rain,0,0,25.3,15,189.4,1017.5,79.7,9.7,212.4,18.2,7,,2015-03-30T06:59:37,2015-03-30T19:40:50,0.4,"Rain, Partially cloudy",Clearing in the afternoon with late afternoon rain.,rain,"KHIO,KTMK,KMMV,72020200118,72688194273,72698694261"
tillamook oregon,2015-03-31,53.6,42.8,48.4,53.6,40.2,47.2,43.9,84.8,0.43,100,50,rain,0,0,36.9,11.4,229,1020.3,75.3,9.2,163.1,14,5,,2015-03-31T06:57:44,2015-03-31T19:42:08,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"KHIO,KTMK,KMMV,72020200118,72688194273,72698694261"
tillamook oregon,2015-04-01,53.5,37.4,44.6,53.5,37.1,43.7,41.4,89.4,0.11,100,25,rain,0,0,,6.9,190.7,1026.9,69.7,8.4,154.8,13.3,5,,2015-04-01T06:55:50,2015-04-01T19:43:25,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"KHIO,KTMK,KMMV,72020200118,72688194273,72698694261"
tillamook oregon,2015-04-02,53.6,35.6,45.1,53.6,33,44.9,39.9,83.9,0.01,100,4.17,rain,0,0,,10.2,202.8,1029.4,46.6,8.1,214.2,18.6,7,,2015-04-02T06:53:58,2015-04-02T19:44:43,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"KHIO,KTMK,KMMV,72020200118,72688194273,72698694261"
tillamook oregon,2015-04-03,53.5,33.8,42.1,53.5,29.5,40.9,38.6,88.2,0.28,100,20.83,rain,0,0,19.7,12.7,169.5,1024.3,65.2,9,176.1,15.4,7,,2015-04-03T06:52:05,2015-04-03T19:46:00,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"KHIO,KTMK,KMMV,72020200118,72688194273,72698694261"
tillamook oregon,2015-04-04,55.4,32,43,55.4,28.9,42.1,36.7,81.1,0,0,0,,0,0,,13.8,212.3,1019.4,54.8,8.5,209.6,17.8,7,,2015-04-04T06:50:13,2015-04-04T19:47:18,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHIO,KTMK,KMMV,72020200118,72688194273,72698694261"
tillamook oregon,2015-04-05,53.6,32,42.2,53.6,29.5,41.1,38.1,86.8,0.13,100,25,rain,0,0,20.8,10.2,147.2,1008,57.8,9.5,96.5,8.2,4,,2015-04-05T06:48:21,2015-04-05T19:48:35,0.51,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KHIO,KTMK,KMMV,72020200118,72688194273,72698694261"
tillamook oregon,2015-04-06,55.4,37.4,46.2,55.4,34.9,45.4,40.4,81.7,0.07,100,16.67,rain,0,0,,9.2,117.3,1009.2,90.8,8.9,117.2,10.2,6,,2015-04-06T06:46:30,2015-04-06T19:49:53,0.52,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"KHIO,KTMK,KMMV,72020200118,72688194273,72698694261"
tillamook oregon,2015-04-07,59,42.8,48.4,59,41.2,48.1,44.7,87.8,0.03,100,8.33,rain,0,0,,12.7,214.6,1008.8,78.4,9.7,130,11.2,4,,2015-04-07T06:44:39,2015-04-07T19:51:10,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KHIO,KTMK,KMMV,72020200118,72688194273,72698694261"
tillamook oregon,2015-04-08,59,44.6,50.7,59,43.3,50.5,45.7,84.4,0.01,100,4.17,rain,0,0,,10.2,263.1,1018.8,68.3,9.9,239.8,20.9,8,,2015-04-08T06:42:48,2015-04-08T19:52:28,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"KHIO,KTMK,KMMV,72020200118,72688194273,72698694261"
tillamook oregon,2015-04-09,60.8,35.6,48.2,60.8,33,47.7,39.5,75.2,0,0,0,,0,0,,9.1,249.3,1018.5,20.9,9,252.9,21.9,8,,2015-04-09T06:40:58,2015-04-09T19:53:45,0.62,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KHIO,KTMK,KMMV,72020200118,72688194273,72698694261"
